Year,Month,Day,Hour,Minute,surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa),wind speed at 140m (m/s),wind direction at 140m (deg),air temperature at 140m (C)
2014,1,1,0,30,102060,100840,99650,5.06,338.96,14.31
2014,1,1,1,30,102060,100840,99650,3.85,330.02,13.9
2014,1,1,2,30,102040,100820,99620,2.07,329.8,13.64
2014,1,1,3,30,102040,100810,99620,0.53,275.81,12.79
2014,1,1,4,30,102050,100820,99630,1.37,299.14,13.13
2014,1,1,5,30,102070,100850,99650,2.29,301.53,13.02
2014,1,1,6,30,102060,100830,99630,6.14,352.05,11.59
2014,1,1,7,30,102080,100840,99630,5.51,349.58,9.81
2014,1,1,8,30,102090,100850,99640,4.96,2.21,9.11
2014,1,1,9,30,102100,100870,99650,4.19,3.84,9.44
2014,1,1,10,30,102090,100860,99660,2.65,12.17,10.01
2014,1,1,11,30,102060,100840,99640,2.01,28.06,11.51
2014,1,1,12,30,102030,100820,99630,1.69,27.68,13.28
2014,1,1,13,30,101980,100780,99590,1.74,27.81,14.75
2014,1,1,14,30,101920,100720,99540,1.74,35.44,15.86
2014,1,1,15,30,101910,100710,99530,1.42,46.52,16.21
2014,1,1,16,30,101890,100700,99510,1.29,60.85,15.87
2014,1,1,17,30,101910,100710,99520,0.68,358.6,15.79
2014,1,1,18,30,101900,100700,99520,0.65,30.76,15.54
2014,1,1,19,30,101910,100710,99520,0.55,354.57,15.51
2014,1,1,20,30,101930,100730,99540,0.45,353.67,15.34
2014,1,1,21,30,101960,100750,99560,0.41,343.47,15.25
2014,1,1,22,30,101980,100770,99580,1.31,22.24,15.21
2014,1,1,23,30,102000,100790,99600,1.54,40.45,14.48
2014,1,2,0,30,102020,100810,99620,2.04,32.37,14.3
2014,1,2,1,30,102010,100790,99600,1.84,27.22,13.97
2014,1,2,2,30,102000,100780,99580,1.97,9.44,13.56
2014,1,2,3,30,102000,100780,99580,2.57,3.3,13.17
2014,1,2,4,30,102020,100790,99600,2.6,2.76,12.64
2014,1,2,5,30,102020,100790,99590,3.74,7.49,12.14
2014,1,2,6,30,102020,100790,99590,4.21,11.29,11.63
2014,1,2,7,30,102040,100810,99610,4.05,0.51,11.42
2014,1,2,8,30,102040,100820,99610,4.56,0.85,11.35
2014,1,2,9,30,102040,100810,99610,4.68,359.07,11.29
2014,1,2,10,30,102010,100790,99600,3.67,357.59,12.05
2014,1,2,11,30,101970,100760,99570,2.92,354.74,13.43
2014,1,2,12,30,101920,100720,99540,2.36,3.22,15.09
2014,1,2,13,30,101850,100650,99470,2.65,2.03,16.42
2014,1,2,14,30,101780,100580,99410,2.78,3.48,17.13
2014,1,2,15,30,101730,100540,99360,2.44,6.78,17.26
2014,1,2,16,30,101700,100500,99330,2.77,17.45,16.91
2014,1,2,17,30,101680,100490,99310,3.16,11.56,16.7
2014,1,2,18,30,101670,100470,99290,2.35,17.41,16.5
2014,1,2,19,30,101670,100470,99300,2.11,3.4,16.57
2014,1,2,20,30,101670,100470,99290,1.57,349.56,16.34
2014,1,2,21,30,101660,100460,99290,1.83,340.33,16.27
2014,1,2,22,30,101660,100460,99280,1.79,342.46,16.34
2014,1,2,23,30,101700,100490,99310,0.6,333.23,15.92
2014,1,3,0,30,101700,100490,99310,0.67,2.24,15.41
2014,1,3,1,30,101670,100460,99280,1.55,31.04,14.92
2014,1,3,2,30,101680,100470,99280,1.24,97.53,14.06
2014,1,3,3,30,101680,100470,99270,0.96,73.7,13.54
2014,1,3,4,30,101680,100460,99270,0.96,40.8,13.28
2014,1,3,5,30,101680,100460,99280,0.23,56.04,12.85
2014,1,3,6,30,101660,100440,99250,0.78,345.63,12.66
2014,1,3,7,30,101680,100460,99270,0.82,312.67,12.55
2014,1,3,8,30,101690,100470,99280,0.79,225.32,12.17
2014,1,3,9,30,101680,100460,99260,1.01,239.66,11.95
2014,1,3,10,30,101640,100430,99230,1.36,322.72,12.29
2014,1,3,11,30,101600,100400,99210,2.07,359.91,13.41
2014,1,3,12,30,101560,100360,99180,1.9,7.83,14.89
2014,1,3,13,30,101470,100280,99100,2.5,5.39,16.04
2014,1,3,14,30,101400,100210,99040,2.17,7.59,16.83
2014,1,3,15,30,101350,100170,99000,1.26,9.25,17.12
2014,1,3,16,30,101320,100130,98960,0.66,11.43,16.98
2014,1,3,17,30,101320,100120,98960,0.36,213.03,16.88
2014,1,3,18,30,101310,100120,98950,0.05,215.83,16.81
2014,1,3,19,30,101330,100130,98960,0.47,166.68,16.54
2014,1,3,20,30,101350,100150,98970,0.6,202.68,16.15
2014,1,3,21,30,101380,100180,99000,0.15,305.06,15.7
2014,1,3,22,30,101410,100200,99030,0.97,2.1,15.31
2014,1,3,23,30,101440,100230,99050,1.41,345.53,14.88
2014,1,4,0,30,101470,100260,99080,2.19,355.04,14.18
2014,1,4,1,30,101460,100250,99070,3.63,1.36,13.79
2014,1,4,2,30,101470,100250,99060,4.17,358.16,13.22
2014,1,4,3,30,101490,100270,99080,3.96,15.81,12.8
2014,1,4,4,30,101500,100280,99090,3.38,8.53,12.1
2014,1,4,5,30,101520,100290,99100,5.19,347.4,12.27
2014,1,4,6,30,101520,100300,99110,6.72,336.31,12.61
2014,1,4,7,30,101530,100310,99120,7.23,337.58,12.11
2014,1,4,8,30,101580,100350,99160,11.92,343.92,10.76
2014,1,4,9,30,101600,100380,99180,11.24,346.86,9.84
2014,1,4,10,30,101590,100380,99190,9.64,351.69,11.17
2014,1,4,11,30,101550,100350,99160,8.54,351.8,13.45
