Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity to grid (kW),Lifetime Hourly Data: Electricity to grid (kW)
0.5,0,0
1.5,0,0
2.5,0,0
3.5,0,0
4.5,0,0
5.5,0,0
6.5,0,0
7.5,2969.39,2969.39
8.5,24956.9,24956.9
9.5,29451.2,29451.2
10.5,28176.7,28176.7
11.5,25212.5,25212.5
12.5,24288.2,24288.2
13.5,26623.6,26623.6
14.5,26336.9,26336.9
15.5,25238.3,25238.3
16.5,8047.93,8047.93
17.5,0,0
18.5,0,0
19.5,0,0
20.5,0,0
21.5,0,0
22.5,0,0
23.5,0,0
24.5,0,0
25.5,0,0
26.5,0,0
27.5,0,0
28.5,0,0
29.5,0,0
30.5,0,0
31.5,2493.91,2493.91
32.5,23284.2,23284.2
33.5,28133.5,28133.5
34.5,27191.8,27191.8
35.5,24371.4,24371.4
36.5,23558.3,23558.3
37.5,25815.1,25815.1
38.5,27513.6,27513.6
39.5,24456.5,24456.5
40.5,8083.3,8083.3
41.5,0,0
42.5,0,0
43.5,0,0
44.5,0,0
45.5,0,0
46.5,0,0
47.5,0,0
48.5,0,0
49.5,0,0
50.5,0,0
51.5,0,0
52.5,0,0
53.5,0,0
54.5,0,0
55.5,1524.92,1524.92
56.5,21296.1,21296.1
57.5,23904.8,23904.8
58.5,22640.1,22640.1
59.5,24500.7,24500.7
60.5,22212.8,22212.8
61.5,16309,16309
62.5,13765.6,13765.6
63.5,14281.5,14281.5
64.5,1192.64,1192.64
65.5,0,0
66.5,0,0
67.5,0,0
68.5,0,0
69.5,0,0
70.5,0,0
71.5,0,0
72.5,0,0
73.5,0,0
74.5,0,0
75.5,0,0
76.5,0,0
77.5,0,0
78.5,0,0
79.5,0,0
80.5,8477.77,8477.77
81.5,21545.6,21545.6
82.5,21275.1,21275.1
83.5,22392.5,22392.5
84.5,23656.7,23656.7
85.5,25288.6,25288.6
86.5,26722.2,26722.2
87.5,24294.3,24294.3
88.5,9273.66,9273.66
89.5,0,0
90.5,0,0
91.5,0,0
92.5,0,0
93.5,0,0
94.5,0,0
95.5,0,0
96.5,0,0
97.5,0,0
98.5,0,0
99.5,0,0
100.5,0,0
101.5,0,0
102.5,0,0
103.5,0,0
104.5,558.623,558.623
105.5,2554.86,2554.86
106.5,1841.18,1841.18
107.5,3482.97,3482.97
108.5,2473.2,2473.2
109.5,1511.45,1511.45
110.5,518.464,518.464
111.5,758.531,758.531
112.5,145.811,145.811
113.5,0,0
114.5,0,0
115.5,0,0
116.5,0,0
117.5,0,0
118.5,0,0
119.5,0,0
120.5,0,0
121.5,0,0
122.5,0,0
123.5,0,0
124.5,0,0
125.5,0,0
126.5,0,0
127.5,0,0
128.5,766.7,766.7
129.5,1497.46,1497.46
130.5,3028.3,3028.3
131.5,3173.02,3173.02
132.5,3385.27,3385.27
133.5,2837.52,2837.52
134.5,1272.56,1272.56
135.5,165.451,165.451
136.5,68.6281,68.6281
137.5,0,0
138.5,0,0
139.5,0,0
140.5,0,0
141.5,0,0
142.5,0,0
143.5,0,0
144.5,0,0
145.5,0,0
146.5,0,0
147.5,0,0
148.5,0,0
149.5,0,0
150.5,0,0
151.5,0,0
152.5,3191.44,3191.44
153.5,12380.1,12380.1
154.5,13843.1,13843.1
155.5,15648.8,15648.8
156.5,18683.4,18683.4
157.5,13935.8,13935.8
158.5,10240.6,10240.6
159.5,5262.07,5262.07
160.5,363.753,363.753
161.5,0,0
162.5,0,0
163.5,0,0
164.5,0,0
165.5,0,0
166.5,0,0
167.5,0,0
168.5,0,0
169.5,0,0
170.5,0,0
171.5,0,0
172.5,0,0
173.5,0,0
174.5,0,0
175.5,0,0
176.5,715.891,715.891
177.5,8571.55,8571.55
178.5,5002.74,5002.74
179.5,4930.72,4930.72
180.5,5468.66,5468.66
181.5,3407.92,3407.92
182.5,3748.11,3748.11
183.5,1279.23,1279.23
184.5,145.331,145.331
185.5,0,0
186.5,0,0
187.5,0,0
188.5,0,0
189.5,0,0
190.5,0,0
191.5,0,0
192.5,0,0
193.5,0,0
194.5,0,0
195.5,0,0
196.5,0,0
197.5,0,0
198.5,0,0
199.5,0,0
200.5,2175.04,2175.04
201.5,10010.2,10010.2
202.5,15636.7,15636.7
203.5,20599.2,20599.2
204.5,14935.2,14935.2
205.5,11061.6,11061.6
206.5,11011.4,11011.4
207.5,6563.24,6563.24
208.5,1713.46,1713.46
209.5,0,0
210.5,0,0
211.5,0,0
212.5,0,0
213.5,0,0
214.5,0,0
215.5,0,0
216.5,0,0
217.5,0,0
218.5,0,0
219.5,0,0
220.5,0,0
221.5,0,0
222.5,0,0
223.5,1560.73,1560.73
224.5,21163.5,21163.5
225.5,10850.2,10850.2
226.5,15523.7,15523.7
227.5,10202.1,10202.1
228.5,7654.7,7654.7
229.5,6563.01,6563.01
230.5,5435.41,5435.41
231.5,22463.5,22463.5
232.5,11660.9,11660.9
233.5,0,0
234.5,0,0
235.5,0,0
236.5,0,0
237.5,0,0
238.5,0,0
239.5,0,0
240.5,0,0
241.5,0,0
242.5,0,0
243.5,0,0
244.5,0,0
245.5,0,0
246.5,0,0
247.5,0,0
248.5,5953.05,5953.05
249.5,6842.51,6842.51
250.5,10450,10450
251.5,13916.3,13916.3
252.5,10611.7,10611.7
253.5,14478.7,14478.7
254.5,11142.3,11142.3
255.5,2974.19,2974.19
256.5,1498.22,1498.22
257.5,0,0
258.5,0,0
259.5,0,0
260.5,0,0
261.5,0,0
262.5,0,0
263.5,0,0
264.5,0,0
265.5,0,0
266.5,0,0
267.5,0,0
268.5,0,0
269.5,0,0
270.5,0,0
271.5,11.7996,11.7996
272.5,18942.8,18942.8
273.5,26069.7,26069.7
274.5,26426.8,26426.8
275.5,24237.2,24237.2
276.5,23523.5,23523.5
277.5,25522.6,25522.6
278.5,27329.4,27329.4
279.5,24947.4,24947.4
280.5,13749.7,13749.7
281.5,0,0
282.5,0,0
283.5,0,0
284.5,0,0
285.5,0,0
286.5,0,0
287.5,0,0
288.5,0,0
289.5,0,0
290.5,0,0
291.5,0,0
292.5,0,0
293.5,0,0
294.5,0,0
295.5,1453.79,1453.79
296.5,20822.1,20822.1
297.5,27308.7,27308.7
298.5,27266.2,27266.2
299.5,24554.3,24554.3
300.5,20503.2,20503.2
301.5,24195.2,24195.2
302.5,18453.1,18453.1
303.5,13185.8,13185.8
304.5,3564.57,3564.57
305.5,0,0
306.5,0,0
307.5,0,0
308.5,0,0
309.5,0,0
310.5,0,0
311.5,0,0
312.5,0,0
313.5,0,0
314.5,0,0
315.5,0,0
316.5,0,0
317.5,0,0
318.5,0,0
319.5,0,0
320.5,2409.23,2409.23
321.5,4910.8,4910.8
322.5,9874.58,9874.58
323.5,10037.6,10037.6
324.5,7005.08,7005.08
325.5,5050.02,5050.02
326.5,2225.44,2225.44
327.5,1055.58,1055.58
328.5,175.832,175.832
329.5,0,0
330.5,0,0
331.5,0,0
332.5,0,0
333.5,0,0
334.5,0,0
335.5,0,0
336.5,0,0
337.5,0,0
338.5,0,0
339.5,0,0
340.5,0,0
341.5,0,0
342.5,0,0
343.5,0,0
344.5,2270.98,2270.98
345.5,6144.83,6144.83
346.5,2265.86,2265.86
347.5,5470.41,5470.41
348.5,7180.92,7180.92
349.5,3077.2,3077.2
350.5,639.491,639.491
351.5,399.954,399.954
352.5,550.471,550.471
353.5,0,0
354.5,0,0
355.5,0,0
356.5,0,0
357.5,0,0
358.5,0,0
359.5,0,0
360.5,0,0
361.5,0,0
362.5,0,0
363.5,0,0
364.5,0,0
365.5,0,0
366.5,0,0
367.5,0,0
368.5,792.499,792.499
369.5,3210.97,3210.97
370.5,5893.52,5893.52
371.5,1296.38,1296.38
372.5,2132.15,2132.15
373.5,1256.11,1256.11
374.5,473.945,473.945
375.5,673.927,673.927
376.5,176.518,176.518
377.5,0,0
378.5,0,0
379.5,0,0
380.5,0,0
381.5,0,0
382.5,0,0
383.5,0,0
384.5,0,0
385.5,0,0
386.5,0,0
387.5,0,0
388.5,0,0
389.5,0,0
390.5,0,0
391.5,8.81503,8.81503
392.5,3434.59,3434.59
393.5,25628.9,25628.9
394.5,19719.4,19719.4
395.5,14934.8,14934.8
396.5,11167.7,11167.7
397.5,13292,13292
398.5,17580.4,17580.4
399.5,8504.99,8504.99
400.5,1363.33,1363.33
401.5,0,0
402.5,0,0
403.5,0,0
404.5,0,0
405.5,0,0
406.5,0,0
407.5,0,0
408.5,0,0
409.5,0,0
410.5,0,0
411.5,0,0
412.5,0,0
413.5,0,0
414.5,0,0
415.5,0,0
416.5,2384.95,2384.95
417.5,12962.2,12962.2
418.5,14906.7,14906.7
419.5,12859.8,12859.8
420.5,12431.2,12431.2
421.5,10796.8,10796.8
422.5,12758.3,12758.3
423.5,3522.75,3522.75
424.5,1902.6,1902.6
425.5,0,0
426.5,0,0
427.5,0,0
428.5,0,0
429.5,0,0
430.5,0,0
431.5,0,0
432.5,0,0
433.5,0,0
434.5,0,0
435.5,0,0
436.5,0,0
437.5,0,0
438.5,0,0
439.5,34.102,34.102
440.5,6545.75,6545.75
441.5,17271.8,17271.8
442.5,16185.5,16185.5
443.5,18264.5,18264.5
444.5,20786,20786
445.5,25050.8,25050.8
446.5,24780.2,24780.2
447.5,17666.7,17666.7
448.5,4532.73,4532.73
449.5,0,0
450.5,0,0
451.5,0,0
452.5,0,0
453.5,0,0
454.5,0,0
455.5,0,0
456.5,0,0
457.5,0,0
458.5,0,0
459.5,0,0
460.5,0,0
461.5,0,0
462.5,0,0
463.5,0,0
464.5,946.438,946.438
465.5,7591.48,7591.48
466.5,11537.7,11537.7
467.5,8775.85,8775.85
468.5,13762.6,13762.6
469.5,26303.4,26303.4
470.5,27619.6,27619.6
471.5,11181.1,11181.1
472.5,1457.27,1457.27
473.5,0,0
474.5,0,0
475.5,0,0
476.5,0,0
477.5,0,0
478.5,0,0
479.5,0,0
480.5,0,0
481.5,0,0
482.5,0,0
483.5,0,0
484.5,0,0
485.5,0,0
486.5,0,0
487.5,3403.56,3403.56
488.5,24892.5,24892.5
489.5,30300,30300
490.5,29583.2,29583.2
491.5,27001.1,27001.1
492.5,26016.2,26016.2
493.5,27871.3,27871.3
494.5,30064.2,30064.2
495.5,28782.4,28782.4
496.5,19445.5,19445.5
497.5,0,0
498.5,0,0
499.5,0,0
500.5,0,0
