Month,Day,Year,Hour,UCDdemand_kW
1,1,2023,0,17016
1,1,2023,1,17400
1,1,2023,2,17432
1,1,2023,3,17576
1,1,2023,4,17736
1,1,2023,5,18536
1,1,2023,6,18728
1,1,2023,7,19128
1,1,2023,8,16168
1,1,2023,9,12296
1,1,2023,10,10392
1,1,2023,11,11048
1,1,2023,12,10968
1,1,2023,13,10504
1,1,2023,14,11064
1,1,2023,15,13752
1,1,2023,16,17448
1,1,2023,17,19064
1,1,2023,18,18904
1,1,2023,19,18568
1,1,2023,20,18264
1,1,2023,21,17816
1,1,2023,22,17624
1,1,2023,23,17480
1,2,2023,0,17640
1,2,2023,1,18104
1,2,2023,2,17112
1,2,2023,3,17768
1,2,2023,4,17976
1,2,2023,5,19048
1,2,2023,6,20040
1,2,2023,7,20728
1,2,2023,8,19672
1,2,2023,9,19512
1,2,2023,10,19304
1,2,2023,11,18776
1,2,2023,12,18792
1,2,2023,13,19864
1,2,2023,14,20392
1,2,2023,15,20248
1,2,2023,16,20376
1,2,2023,17,20744
1,2,2023,18,20568
1,2,2023,19,19688
1,2,2023,20,19400
1,2,2023,21,18664
1,2,2023,22,18264
1,2,2023,23,18184
1,3,2023,0,17960
1,3,2023,1,17944
1,3,2023,2,17720
1,3,2023,3,17944
1,3,2023,4,18392
1,3,2023,5,20664
1,3,2023,6,23656
1,3,2023,7,24696
1,3,2023,8,25496
1,3,2023,9,25016
1,3,2023,10,24568
1,3,2023,11,24904
1,3,2023,12,23768
1,3,2023,13,23992
1,3,2023,14,24264
1,3,2023,15,23176
1,3,2023,16,23688
1,3,2023,17,23432
1,3,2023,18,22760
1,3,2023,19,21880
1,3,2023,20,21496
1,3,2023,21,20792
1,3,2023,22,19896
1,3,2023,23,18984
1,4,2023,0,18424
1,4,2023,1,18392
1,4,2023,2,18232
1,4,2023,3,18312
1,4,2023,4,18760
1,4,2023,5,19832
1,4,2023,6,20856
1,4,2023,7,22088
1,4,2023,8,22529
1,4,2023,9,23000
1,4,2023,10,23178
1,4,2023,11,23160
1,4,2023,12,22624
1,4,2023,13,22546
1,4,2023,14,22518
1,4,2023,15,21956
1,4,2023,16,21721
1,4,2023,17,21512
1,4,2023,18,20936
1,4,2023,19,20408
1,4,2023,20,19864
1,4,2023,21,19160
1,4,2023,22,18776
1,4,2023,23,18824
1,5,2023,0,18440
1,5,2023,1,18280
1,5,2023,2,18072
1,5,2023,3,18280
1,5,2023,4,18408
1,5,2023,5,19545
1,5,2023,6,20519
1,5,2023,7,21896
1,5,2023,8,22470
1,5,2023,9,22648
1,5,2023,10,22593
1,5,2023,11,23035
1,5,2023,12,23025
1,5,2023,13,22498
1,5,2023,14,22470
