Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: System power generated (kW)
0.5,-1.90284,-1.90284,-1.90284
1.5,-1.90284,-1.90284,-1.90284
2.5,-1.90284,-1.90284,-1.90284
3.5,-1.90284,-1.90284,-1.90284
4.5,-1.90284,-1.90284,-1.90284
5.5,-1.90284,-1.90284,-1.90284
6.5,-1.90284,-1.90284,-1.90284
7.5,0,0,5715.14
8.5,0,0,47974.2
9.5,0,0,56609.3
10.5,0,0,54160.5
11.5,0,0,48465.2
12.5,0,0,46689.2
13.5,0,0,51176.5
14.5,0,0,50625.7
15.5,0,0,48514.7
16.5,0,0,15477.7
17.5,-1.90284,-1.90284,-1.90284
18.5,-1.90284,-1.90284,-1.90284
19.5,-1.90284,-1.90284,-1.90284
20.5,-1.90284,-1.90284,-1.90284
21.5,-1.90284,-1.90284,-1.90284
22.5,-1.90284,-1.90284,-1.90284
23.5,-1.90284,-1.90284,-1.90284
24.5,-1.90284,-1.90284,-1.90284
25.5,-1.90284,-1.90284,-1.90284
26.5,-1.90284,-1.90284,-1.90284
27.5,-1.90284,-1.90284,-1.90284
28.5,-1.90284,-1.90284,-1.90284
29.5,-1.90284,-1.90284,-1.90284
30.5,-1.90284,-1.90284,-1.90284
31.5,0,0,4801.05
32.5,0,0,44760.1
33.5,0,0,54077.6
34.5,0,0,52268.1
35.5,0,0,46849
36.5,0,0,45286.6
37.5,0,0,49623
38.5,0,0,52886.6
39.5,0,0,47012.5
40.5,0,0,15545.7
41.5,-1.90284,-1.90284,-1.90284
42.5,-1.90284,-1.90284,-1.90284
43.5,-1.90284,-1.90284,-1.90284
44.5,-1.90284,-1.90284,-1.90284
45.5,-1.90284,-1.90284,-1.90284
46.5,-1.90284,-1.90284,-1.90284
47.5,-1.90284,-1.90284,-1.90284
48.5,-1.90284,-1.90284,-1.90284
49.5,-1.90284,-1.90284,-1.90284
50.5,-1.90284,-1.90284,-1.90284
51.5,-1.90284,-1.90284,-1.90284
52.5,-1.90284,-1.90284,-1.90284
53.5,-1.90284,-1.90284,-1.90284
54.5,-1.90284,-1.90284,-1.90284
