Number of Turbines,Annual Installation Cost,Annual Operation/Maintenance Cost,Annual Cost of Purchasing Electricity,Annual Revenue from Selling Surplus,Total Energy Produced (kWh),Total Demand (kWh),Total Energy Balance (kWh),Cost of Grid Without Renewables,Annual Net Operating Cost,Savings From Implementation of System
0,0,0.0,75187139.160133,0.0,0.0,233522188.9,-233522188.9,1.7557865313803168e+16,-75187139.160133,-1.7557865388990308e+16
1,3900000,92518.27505842422,73208550.40567718,1312.1334366421218,6167885.003894948,233522188.9,-227354303.89610505,1.709582093692972e+16,-73299756.54729897,-1.7095821010229476e+16
2,7800000,185036.55011684843,71230066.13048637,2643.0846282842435,12335770.007789897,233522188.9,-221186418.8922101,1.663380095828293e+16,-71412459.59597494,-1.663380102969539e+16
3,11700000,277554.82517527265,69252018.41441856,4052.6644609263653,18503655.011684842,233522188.9,-215018533.88831517,1.617188292587813e+16,-69525520.5751329,-1.617188299540365e+16
4,15600000,370073.10023369687,67275430.46190943,5665.568950405996,24671540.015579794,233522188.9,-208850648.88442022,1.5710305780654828e+16,-67639837.99319272,-1.5710305848294666e+16
5,19500000,462591.37529212114,65299320.156014286,7360.969628757494,30839425.019474745,233522188.9,-202682763.88052526,1.5248840176514346e+16,-65754550.56167765,-1.5248840242268896e+16
6,23400000,555109.6503505453,63323651.077807136,9135.839803108993,37007310.023369685,233522188.9,-196514878.8766303,1.4787477608829366e+16,-63869624.88835457,-1.478747767269899e+16
7,27300000,647627.9254089695,61348040.726928,10921.287353460491,43175195.02726464,233522188.9,-190346993.87273538,1.4326128755278574e+16,-61984747.364983514,-1.4326128817263322e+16
8,31200000,740146.2004673937,59406671.65998646,17468.986056164686,49343080.03115959,233522188.9,-184179108.86884043,1.3872776001303634e+16,-60129348.87439769,-1.3872776061432982e+16
9,35100000,832664.475525818,57675544.70108024,52993.521526517616,55510965.035054535,233522188.9,-178011223.86494547,1.3468519444596054e+16,-58455215.65507954,-1.346851950305127e+16
10,39000000,925182.7505842423,56236097.42209478,128366.04311657681,61678850.03894949,233522188.9,-171843338.86105052,1.313237656520122e+16,-57032914.129562445,-1.3132376622234134e+16
11,42900000,1017701.0256426664,55074120.677324235,241886.40368066437,67846735.04284443,233522188.9,-165675453.85715556,1.2861029212311506e+16,-55849935.29928624,-1.2861029268161442e+16
12,46800000,1110219.3007010906,54081656.535603456,378034.7106382681,74014620.04673937,233522188.9,-159507568.85326064,1.262926681353211e+16,-54813841.125666276,-1.2629266868345952e+16
13,50700000,1202737.575759515,53204141.658279106,529009.3520707615,80182505.05063432,233522188.9,-153339683.84936568,1.2424347618587012e+16,-53877869.88196786,-1.2424347672464882e+16
14,54600000,1295255.850817939,52407646.65408299,690222.7770825563,86350390.05452928,233522188.9,-147171798.84547073,1.2238348361759222e+16,-53012679.72781838,-1.2238348414771902e+16
15,58500000,1387774.1258763631,51686338.165498525,860882.9798856161,92518275.05842422,233522188.9,-141003913.8415758,1.2069906824632826e+16,-52213229.31148927,-1.2069906876846056e+16
16,62400000,1480292.4009347875,51014841.290998764,1037993.9665455346,98686160.06231917,233522188.9,-134836028.83768082,1.1913097404660134e+16,-51457139.72538802,-1.1913097456117274e+16
17,66300000,1572810.6759932116,50380635.34367075,1220001.4920110886,104854045.06621411,233522188.9,-128668143.83378589,1.1764996243626698e+16,-50733444.527652875,-1.1764996294360142e+16
18,70200000,1665328.951051636,49778663.99078354,1406220.2649669927,111021930.07010907,233522188.9,-122500258.82989094,1.1624422575645382e+16,-50037772.676868185,-1.1624422625683154e+16
19,74100000,1757847.2261100602,49207417.68611519,1596399.7180624148,117189815.07400402,233522188.9,-116332373.82599598,1.1491023888178192e+16,-49368865.19416284,-1.1491023937547058e+16
20,78000000,1850365.5011684846,48658103.669520244,1789384.5563735496,123357700.07789898,233522188.9,-110164488.82210103,1.136274687662949e+16,-48719084.61431518,-1.1362746925348574e+16
21,81900000,1942883.776226909,48128361.79348666,1984870.0070740546,129525585.08179393,233522188.9,-103996603.81820607,1.1239040394186136e+16,-48086375.56263952,-1.1239040442272512e+16
